V (mL),[H^{+}] (mol/L),[PO_4^{3-}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
1e-08,0.0023341764527780857,1.263679470696344e-17,6.162694138274479e-07,0.0023329439096662343,0.007871146231516522,4.2841662583384375e-12,9.999999999000001e-12
0.9009250273843297,0.001855476958295472,2.3543640430426854e-17,9.127023777603107e-07,0.002746532532056093,0.007366145840030851,5.389449842150804e-12,0.0008928808404281926
1.7596421084130904,0.0014749505071340607,4.343071551193222e-17,1.338364572078325e-06,0.003201488008105296,0.006825419155298021,6.779888512619148e-12,0.0017292141284640096
2.587362906517204,0.0011724634945041396,7.923348190177518e-17,1.9409219470819314e-06,0.0036906885747781306,0.00625470354089989,8.529050198044074e-12,0.002522106849432264
3.38860317836617,0.0009320113721076294,1.4282991409117368e-16,2.781252293689814e-06,0.004203989261336331,0.005663472675384094,1.0729482814556461e-11,0.0032775403421595193
4.16221243266923,0.0007408718495796871,2.542573516728539e-16,3.9356512978319415e-06,0.004728895381121611,0.00506410613972202,1.3497610964262158e-11,0.003995894802407059
4.90290088604159,0.0005889317597685286,4.468572862817706e-16,5.49836820117685e-06,0.005251686521620324,0.004470578963561516,1.6979895945721026e-11,0.004673751483162246
5.603097180903339,0.00046815197238338294,7.754566524608393e-16,7.584804365009372e-06,0.00575878998840624,0.003896889565428212,2.1360585002108486e-11,0.005305807623525431
6.254847281794534,0.00037214204466166364,1.329339876021662e-15,1.0335816060213604e-05,0.006238116932966744,0.0033555386905984703,2.6871459818767777e-11,0.00588664653124604
6.851433686525933,0.0002958221038777348,2.252790849718364e-15,1.3923598608818203e-05,0.006680086964011757,0.0028563586523965233,3.380410006188399e-11,0.006412112079493703
7.38847348327663,0.0002351540719410261,3.777600786814384e-15,1.8559597932430625e-05,0.0070781712699963546,0.0024058778314373377,4.2525310820506875e-11,0.00688013642770257
7.864405670986746,0.00018692801121210356,6.2744758654119646e-15,2.450483815650241e-05,0.007428929277468438,0.002007246037898564,5.3496530215865734e-11,0.007291010989274015
8.280433603256256,0.00014859228712176128,1.033424970100615e-14,3.208301825127967e-05,0.007731637534093782,0.0016606103986085794,6.7298244032045e-11,0.007647211345307398
8.640090021445443,0.00011811856151950716,1.6896003317236894e-14,4.1696743252732176e-05,0.007987673137459801,0.0013637615263617836,8.466069914294135e-11,0.00795294814256864
8.948620199481903,9.389447356715686e-05,2.7448838866009807e-14,5.3847309575687853e-05,0.008199814741204703,0.0011128690689446571,1.0650254077890549e-10,0.00821361498943009
9.212348655500763,7.463832993764932e-05,4.434899796143688e-14,6.915852545306678e-05,0.008371583981679625,0.0009031701001985918,1.3397941792579893e-10,0.0084352628332902
9.438137418881585,5.933129058865114e-05,7.131704913068744e-14,8.840506758287288e-05,0.008506696840606374,0.0007295326798237823,1.6854512856177047e-10,0.008624175850833886
9.632986039779546,4.7163462069095574e-05,1.1421511911544165e-13,0.00011254579527120973,0.008608648027124867,0.0005868682695054914,2.1202853991824762e-10,0.008786576365150069
9.803780213530509,3.7491046162553784e-05,1.822576010502307e-13,0.00014276219243324254,0.008680420585025305,0.00047040109874135376,2.66730353606084e-10,0.008928454188430978
9.95717041631777,2.9802276607759166e-05,2.898889056112797e-13,0.0001805015917119626,0.008724297712599973,0.0003758200262326975,3.3554483543704976e-10,0.00905549895347263
10.09955097358128,2.3690341612619487e-05,4.596801502108997e-13,0.00022752392642491157,0.008741750299269487,0.0002993434228693709,4.221129506496073e-10,0.009173108231844378
10.237108014805834,1.883185949547532e-05,7.267680340659178e-13,0.0002859492899185797,0.00873337739410897,0.0002377253157492589,5.310150069037336e-10,0.009286444645691267
10.37590682619112,1.4969768602594283e-05,1.145600979010659e-12,0.000358301365538358,0.008698884220452577,0.00018822557727932762,6.680129977604979e-10,0.009400517852623448
10.521991702004339,1.1899726209674602e-05,1.8000873185535904e-12,0.0004475386438898583,0.008637091307033936,0.00014856088571048925,8.403554690081762e-10,0.009520269712813655
10.681472544101323,9.459296775013398e-06,2.8186688383672127e-12,0.0005570611936080476,0.00854597772650367,0.00011684781824710312,1.057161038272408e-09,0.009650641881228371
10.860571474569793,7.519357496228113e-06,4.396362652219608e-12,0.0006906758057080352,0.008422770670270203,9.154522772286828e-05,1.3299008598828057e-09,0.009796604266162464
11.065600055832624,5.977266439661074e-06,6.826379487999388e-12,0.0008524973601222083,0.00826410179319431,7.140001008742246e-05,1.673005562149077e-09,0.00996312093957981
